"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"Alabama A & M University","Normal","AL","www.aamu.edu/","galileo.aamu.edu/netpricecalculator/npcalc.htm",34.783368,-86.568502,1
"University of Alabama at Birmingham","Birmingham","AL","www.uab.edu","www.collegeportraits.org/AL/UAB/estimator/agree",33.50223,-86.80917,1
"Amridge University","Montgomery","AL","www.amridgeuniversity.edu","www2.amridgeuniversity.edu:9091/",32.362609,-86.17401,2
"University of Alabama in Huntsville","Huntsville","AL","www.uah.edu","finaid.uah.edu/",34.722818,-86.63842,1
"Alabama State University","Montgomery","AL","www.alasu.edu","www.alasu.edu/cost-aid/forms/calculator/index.aspx",32.364317,-86.295677,1
"The University of Alabama","Tuscaloosa","AL","www.ua.edu/","financialaid.ua.edu/net-price-calculator/",33.2144,-87.545766,1
"Central Alabama Community College","Alexander City","AL","www.cacc.edu","www.cacc.edu/clientuploads/financial_aid/NetPrice/Net%20Price%202k15.htm",32.924429,-85.94653,1
"Athens State University","Athens","AL","www.athens.edu","https://24.athens.edu/apex/prod8/f?p=174:1:3941357449598491",34.805625,-86.96514,1
"Auburn University at Montgomery","Montgomery","AL","www.aum.edu","www.aum.edu/admissions/financial-information/price-estimator-calculator",32.369939,-86.177351,1
"Auburn University","Auburn","AL","www.auburn.edu","www.auburn.edu/admissions/money-matters.html",32.604685,-85.482782,1
"Birmingham Southern College","Birmingham","AL","www.bsc.edu/","www.bsc.edu/fp/np-calculator.cfm",33.515453,-86.853636,2
"Chattahoochee Valley Community College","Phenix City","AL","www.cv.edu","https://external.cv.edu/npc/npcalc.htm",32.42391,-85.031485,1
"Concordia College Alabama","Selma","AL","www.ccal.edu/","www.ccal.edu/netprice/netprice/",32.42443,-87.023531,2
"South University-Montgomery","Montgomery","AL","southuniversity.edu","tcc.noellevitz.com/edmc/South Net Price Calculator",32.342684,-86.216488,3
"Enterprise State Community College","Enterprise","AL","www.escc.edu","www.escc.edu/NetPrice/npcalc.htm",31.297496,-85.836956,1
"James H Faulkner State Community College","Bay Minette","AL","www.faulknerstate.edu","www.faulknerstate.edu",30.852045,-87.779758,1
"Faulkner University","Montgomery","AL","www.faulkner.edu","www.faulkner.edu/net-price-calculator-form/",32.384181,-86.21641,2
"Gadsden State Community College","Gadsden","AL","www.gadsdenstate.edu","www.gadsdenstate.edu/netpricecalculator/",33.991866,-85.991299,1
"New Beginning College of Cosmetology","Albertville","AL","www.nbccosmetology.com","www.nbccosmetology.com/npcalc.htm",34.27871,-86.196931,3
